obs,year,period,state,age,fatal,male,female,single,multiple,lnpop,lnpopm,lnpopf,unempl,gdl,gdl3,gdl2,gdl1,beltsc,beltpr,bac08,zerotol,alr,sp70,sp65
768,1997,8,46,16,1,0,1,1,0,9.44,8.77,8.72,3.1,0,0,0,0,1,0,0,0,0,1,0
769,1998,9,46,16,2,1,1,2,0,9.44,8.77,8.73,3,0,0,0,0,1,0,0,0,0,1,0
770,1999,10,46,16,5,3,2,2,3,9.44,8.76,8.72,2.8,1,1,0,0,1,0,0,1,0,1,0
771,2000,11,46,16,0,0,0,0,0,9.44,8.76,8.73,2.7,1,1,0,0,1,0,0,1,0,1,0
772,2001,12,46,16,2,1,1,1,1,9.44,8.79,8.71,3.1,1,1,0,0,1,0,0,1,0,1,0
773,2002,13,46,16,1,0,1,0,1,9.43,8.79,8.68,3.3,1,1,0,0,1,0,0,1,0,1,0
774,2003,14,46,16,4,1,3,2,2,9.4,8.74,8.68,3.5,1,1,0,0,1,0,1,1,0,1,0
775,2004,15,46,16,1,1,0,1,0,9.38,8.7,8.67,3.7,1,1,0,0,1,0,1,1,0,1,0
776,2005,16,46,16,2,1,1,0,2,9.39,8.73,8.65,3.7,1,1,0,0,1,0,1,1,0,1,0
777,2006,17,46,16,5,4,1,4,1,9.39,8.72,8.67,3.1,1,1,0,0,1,0,1,1,0,1,0
778,2007,18,46,16,2,0,2,2,0,9.36,8.7,8.62,2.9,1,1,0,0,1,0,1,1,0,1,0
779,2008,19,46,16,2,1,1,0,2,9.36,8.69,8.64,3.2,1,1,0,0,1,0,1,1,0,1,0
780,2009,20,46,16,2,0,2,2,0,9.32,8.65,8.61,4.9,1,1,0,0,1,0,1,1,0,1,0
781,1990,1,47,16,9,7,2,5,4,11.12,10.46,10.39,5.5,0,0,0,0,1,0,0,0,0,0,0
782,1991,2,47,16,18,16,2,13,5,11.13,10.47,10.4,6.7,0,0,0,0,1,0,0,0,0,0,0
783,1992,3,47,16,12,7,5,8,4,11.11,10.45,10.38,6.5,0,0,0,0,1,0,0,0,0,0,0
784,1993,4,47,16,17,8,9,8,9,11.17,10.51,10.44,6,0,0,0,0,1,0,0,0,0,0,0
785,1994,5,47,16,29,21,8,18,11,11.19,10.53,10.46,5.1,0,0,0,0,1,0,0,0,0,0,0
786,1995,6,47,16,30,18,12,15,15,11.22,10.55,10.49,5.4,0,0,0,0,1,0,0,1,0,0,0
787,1996,7,47,16,29,20,9,19,10,11.25,10.59,10.53,5.4,0,0,0,0,1,0,0,1,0,0,0
788,1997,8,47,16,16,13,3,10,6,11.24,10.58,10.51,5.3,0,0,0,0,1,0,0,1,0,0,0
789,1998,9,47,16,18,11,7,13,5,11.25,10.58,10.52,4.5,0,0,0,0,1,0,0,1,0,1,0
790,1999,10,47,16,25,12,13,18,7,11.24,10.58,10.51,4.2,0,0,0,0,1,0,0,1,0,1,0
791,2000,11,47,16,21,12,9,16,5,11.25,10.59,10.52,4,0,0,0,0,1,0,0,1,0,1,0
792,2001,12,47,16,21,14,7,15,6,11.28,10.61,10.56,4.7,0,0,0,0,1,0,0,1,0,1,0
793,2002,13,47,16,15,11,4,11,4,11.28,10.61,10.56,5.3,1,0,0,1,1,0,0,1,0,1,0
794,2003,14,47,16,12,5,7,9,3,11.27,10.6,10.56,5.7,1,0,0,1,1,0,0,1,0,1,0
795,2004,15,47,16,20,11,9,11,9,11.29,10.63,10.57,5.4,1,0,0,1,1,0,1,1,0,1,0
796,2005,16,47,16,15,9,6,11,4,11.33,10.66,10.62,5.6,1,0,0,1,1,1,1,1,0,1,0
797,2006,17,47,16,15,12,3,7,8,11.37,10.7,10.64,5.2,1,0,0,1,1,1,1,1,0,1,0
798,2007,18,47,16,13,5,8,9,4,11.37,10.71,10.65,4.9,1,0,0,1,1,1,1,1,0,1,0
799,2008,19,47,16,15,12,3,9,6,11.36,10.68,10.64,6.6,1,0,0,1,1,1,1,1,0,1,0
800,2009,20,47,16,9,7,2,8,1,11.34,10.67,10.62,10.4,1,0,0,1,1,1,1,1,0,1,0
801,1990,1,48,16,32,22,10,20,12,12.43,11.76,11.71,6.4,0,0,0,0,0,1,0,0,0,0,0
802,1991,2,48,16,37,24,13,25,12,12.46,11.79,11.74,7,0,0,0,0,0,1,0,0,0,0,0
803,1992,3,48,16,35,28,7,24,11,12.45,11.78,11.73,7.6,0,0,0,0,0,1,0,0,0,0,0
804,1993,4,48,16,33,18,15,25,8,12.49,11.82,11.77,7.2,0,0,0,0,0,1,0,0,0,0,0
805,1994,5,48,16,23,15,8,13,10,12.5,11.83,11.78,6.6,0,0,0,0,0,1,0,1,0,0,0
806,1995,6,48,16,42,32,10,25,17,12.54,11.87,11.82,6.1,0,0,0,0,0,1,0,1,1,0,0
807,1996,7,48,16,61,37,24,28,33,12.61,11.94,11.89,5.8,0,0,0,0,0,1,0,1,1,0,0
808,1997,8,48,16,41,26,15,20,21,12.62,11.95,11.9,5.4,0,0,0,0,0,1,0,1,1,0,0
809,1998,9,48,16,39,23,16,23,16,12.65,11.98,11.93,4.9,0,0,0,0,0,1,0,1,1,0,0
810,1999,10,48,16,34,16,18,16,18,12.65,11.99,11.93,4.7,0,0,0,0,0,1,0,1,1,0,0
811,2000,11,48,16,44,30,14,23,21,12.68,12.02,11.96,4.4,0,0,0,0,0,1,1,1,1,1,1
812,2001,12,48,16,48,30,18,27,21,12.71,12.04,11.99,5,0,0,0,0,0,1,1,1,1,1,1
813,2002,13,48,16,41,24,17,23,18,12.71,12.04,11.99,6.4,1,0,1,0,0,1,1,1,1,1,1
814,2003,14,48,16,28,13,15,15,13,12.72,12.05,12,6.7,1,0,1,0,0,1,1,1,1,1,1
815,2004,15,48,16,32,20,12,19,13,12.72,12.06,12,6,1,0,1,0,0,1,1,1,1,1,1
816,2005,16,48,16,17,15,2,11,6,12.74,12.07,12.01,5.4,1,0,1,0,0,1,1,1,1,1,1
817,2006,17,48,16,20,10,10,11,9,12.78,12.12,12.06,4.9,1,0,1,0,0,1,1,1,1,1,1
818,2007,18,48,16,24,18,6,10,14,12.78,12.11,12.06,4.4,1,0,1,0,0,1,1,1,1,1,1
819,2008,19,48,16,25,13,12,13,12,12.79,12.12,12.07,5,1,0,1,0,0,1,1,1,1,1,1
820,2009,20,48,16,15,10,5,6,9,12.79,12.12,12.07,7.5,1,0,1,0,0,1,1,1,1,1,1
821,1990,1,49,16,4,4,0,4,0,10.3,9.63,9.58,4.5,0,0,0,0,1,0,1,0,1,0,0
822,1991,2,49,16,5,1,4,5,0,10.38,9.71,9.65,4.8,0,0,0,0,1,0,1,0,1,0,0
823,1992,3,49,16,2,2,0,1,1,10.43,9.77,9.71,4.9,0,0,0,0,1,0,1,0,1,0,0
824,1993,4,49,16,2,2,0,2,0,10.55,9.88,9.82,4.1,0,0,0,0,1,0,1,0,1,0,0
825,1994,5,49,16,3,1,2,1,2,10.57,9.9,9.84,3.8,0,0,0,0,1,0,1,0,1,0,0
826,1995,6,49,16,7,2,5,4,3,10.6,9.93,9.87,3.5,0,0,0,0,1,0,1,0,1,0,0
827,1996,7,49,16,4,3,1,3,1,10.64,9.97,9.91,3.4,0,0,0,0,1,0,1,0,1,0,0
828,1997,8,49,16,5,4,1,3,2,10.63,9.96,9.91,3.2,0,0,0,0,1,0,1,0,1,1,1
829,1998,9,49,16,5,1,4,2,3,10.64,9.97,9.92,3.7,0,0,0,0,1,0,1,1,1,1,1
830,1999,10,49,16,5,5,0,3,2,10.62,9.95,9.89,3.6,0,0,0,0,1,0,1,1,1,1,1
831,2000,11,49,16,3,2,1,0,3,10.63,9.97,9.9,3.4,1,0,1,0,1,0,1,1,1,1,1
832,2001,12,49,16,4,2,2,2,2,10.63,9.97,9.9,4.4,1,0,1,0,1,0,1,1,1,1,1
833,2002,13,49,16,7,6,1,4,3,10.6,9.93,9.89,5.8,1,0,1,0,1,0,1,1,1,1,1
834,2003,14,49,16,5,4,1,3,2,10.59,9.92,9.87,5.6,1,0,0,0,1,0,1,1,1,1,1
835,2004,15,49,16,4,2,2,2,2,10.58,9.91,9.87,5,1,0,0,1,1,0,1,1,1,1,1
836,2005,16,49,16,4,3,1,2,2,10.61,9.95,9.89,4.1,1,0,0,1,1,0,1,1,1,1,1
837,2006,17,49,16,4,3,1,3,1,10.64,9.97,9.92,3,1,0,0,1,1,0,1,1,1,1,1
838,2007,18,49,16,1,0,1,1,0,10.65,9.99,9.92,2.7,1,0,0,1,1,0,1,1,1,1,1
839,2008,19,49,16,2,2,0,2,0,10.64,9.98,9.92,3.8,1,0,0,1,1,0,1,1,1,1,1
840,2009,20,49,16,1,0,1,0,1,10.65,9.98,9.92,7.1,1,0,0,1,1,0,1,1,1,1,1
841,1990,1,50,16,0,0,0,0,0,8.87,8.2,8.15,5,0,0,0,0,0,0,0,0,1,0,1
842,1991,2,50,16,0,0,0,0,0,8.9,8.24,8.18,6.7,0,0,0,0,0,0,0,0,1,0,1
843,1992,3,50,16,3,3,0,3,0,8.89,8.23,8.17,6.4,0,0,0,0,0,0,1,1,1,0,1
844,1993,4,50,16,1,1,0,1,0,8.94,8.28,8.22,5.2,0,0,0,0,0,0,1,1,1,0,1
845,1994,5,50,16,0,0,0,0,0,8.96,8.29,8.24,4.6,0,0,0,0,1,0,1,1,1,0,1
846,1995,6,50,16,1,0,1,1,0,9,8.34,8.28,4.3,0,0,0,0,1,0,1,1,1,0,1
847,1996,7,50,16,1,0,1,0,1,9.06,8.39,8.34,4.4,0,0,0,0,1,0,1,1,1,0,1
848,1997,8,50,16,1,1,0,0,1,9.05,8.39,8.33,3.9,0,0,0,0,1,0,1,1,1,0,1
849,1998,9,50,16,2,2,0,2,0,9.08,8.42,8.36,3.1,0,0,0,0,1,0,1,1,1,0,1
850,1999,10,50,16,3,2,1,1,2,9.09,8.42,8.37,2.9,0,0,0,0,1,0,1,1,1,0,1
851,2000,11,50,16,0,0,0,0,0,9.11,8.44,8.39,2.7,0,0,0,0,1,0,1,1,1,0,1
852,2001,12,50,16,0,0,0,0,0,9.12,8.47,8.39,3.3,1,0,1,0,1,0,1,1,1,0,1
853,2002,13,50,16,2,2,0,0,2,9.11,8.44,8.39,4,1,0,1,0,1,0,1,1,1,0,1
854,2003,14,50,16,2,2,0,1,1,9.12,8.46,8.39,4.5,1,0,1,0,1,0,1,1,1,0,1
855,2004,15,50,16,1,0,1,1,0,9.12,8.46,8.39,3.7,1,0,1,0,1,0,1,1,1,0,1
856,2005,16,50,16,2,1,1,2,0,9.12,8.46,8.4,3.5,1,0,1,0,1,0,1,1,1,0,1
857,2006,17,50,16,3,1,2,2,1,9.12,8.47,8.4,3.7,1,0,1,0,1,0,1,1,1,0,1
858,2007,18,50,16,1,1,0,1,0,9.1,8.44,8.36,3.9,1,0,1,0,1,0,1,1,1,0,1
859,2008,19,50,16,1,1,0,1,0,9.05,8.36,8.35,4.5,1,0,1,0,1,0,1,1,1,0,1
860,2009,20,50,16,1,0,1,1,0,9.01,8.35,8.28,6.9,1,0,1,0,1,0,1,1,1,0,1
861,1990,1,51,16,18,13,5,14,4,11.27,10.6,10.55,4.5,0,0,0,0,1,0,0,0,0,0,0
862,1991,2,51,16,15,11,4,10,5,11.28,10.61,10.56,5.9,0,0,0,0,1,0,0,0,0,0,0
863,1992,3,51,16,5,4,1,3,2,11.26,10.6,10.54,6.2,0,0,0,0,1,0,0,0,0,0,0
864,1993,4,51,16,10,3,7,7,3,11.31,10.64,10.59,5.2,0,0,0,0,1,0,0,0,0,0,0
865,1994,5,51,16,16,9,7,10,6,11.32,10.65,10.6,4.8,0,0,0,0,1,0,0,0,0,0,0
866,1995,6,51,16,15,12,3,9,6,11.34,10.67,10.62,4.4,0,0,0,0,1,0,1,1,1,0,0
867,1996,7,51,16,9,7,2,5,4,11.39,10.72,10.67,4.3,0,0,0,0,1,0,1,1,1,0,1
868,1997,8,51,16,8,6,2,7,1,11.39,10.72,10.67,3.7,0,0,0,0,1,0,1,1,1,0,1
869,1998,9,51,16,16,8,8,6,10,11.42,10.75,10.7,2.8,0,0,0,0,1,0,1,1,1,0,1
870,1999,10,51,16,9,8,1,7,2,11.42,10.76,10.7,2.7,1,0,1,0,1,0,1,1,1,0,1
871,2000,11,51,16,11,5,6,7,4,11.45,10.79,10.72,2.3,1,0,1,0,1,0,1,1,1,0,1
872,2001,12,51,16,18,15,3,10,8,11.49,10.82,10.77,3.2,1,0,0,0,1,0,1,1,1,0,1
873,2002,13,51,16,11,9,2,6,5,11.5,10.84,10.78,4.2,1,0,0,1,1,0,1,1,1,0,1
874,2003,14,51,16,8,2,6,5,3,11.51,10.84,10.8,4.1,1,0,0,1,1,0,1,1,1,0,1
875,2004,15,51,16,9,4,5,5,4,11.53,10.85,10.81,3.7,1,0,0,1,1,0,1,1,1,0,1
876,2005,16,51,16,14,9,5,9,5,11.55,10.88,10.83,3.5,1,0,0,1,1,0,1,1,1,0,1
877,2006,17,51,16,8,4,4,6,2,11.58,10.91,10.87,3.1,1,0,0,1,1,0,1,1,1,0,1
878,2007,18,51,16,7,6,1,5,2,11.58,10.9,10.87,3,1,0,0,1,1,0,1,1,1,0,1
879,2008,19,51,16,12,5,7,7,5,11.55,10.88,10.84,4,1,0,0,1,1,0,1,1,1,0,1
880,2009,20,51,16,7,4,3,7,0,11.55,10.88,10.83,6.8,1,0,0,1,1,0,1,1,1,0,1
881,1990,1,53,16,11,9,2,9,2,11.05,10.39,10.32,5.2,0,0,0,0,1,0,0,0,0,0,0
882,1991,2,53,16,3,3,0,3,0,11.09,10.44,10.36,6.3,0,0,0,0,1,0,0,0,0,0,0
883,1992,3,53,16,7,5,2,6,1,11.11,10.45,10.38,7.2,0,0,0,0,1,0,0,0,0,0,0
884,1993,4,53,16,6,5,1,3,3,11.17,10.52,10.44,7.1,0,0,0,0,1,0,0,0,0,0,0
885,1994,5,53,16,10,8,2,6,4,11.19,10.53,10.46,6.5,0,0,0,0,1,0,0,0,0,0,0
886,1995,6,53,16,11,8,3,7,4,11.24,10.58,10.51,6.3,0,0,0,0,1,0,0,0,0,0,0
887,1996,7,53,16,8,5,3,5,3,11.3,10.65,10.57,5.9,0,0,0,0,1,0,0,1,1,1,1
888,1997,8,53,16,9,7,2,5,4,11.32,10.67,10.59,4.9,0,0,0,0,1,0,0,1,1,1,1
889,1998,9,53,16,9,6,3,4,5,11.36,10.71,10.64,4.8,0,0,0,0,1,0,0,1,1,1,1
890,1999,10,53,16,4,3,1,4,0,11.37,10.71,10.64,4.9,0,0,0,0,1,0,1,1,1,1,1
891,2000,11,53,16,5,4,1,4,1,11.36,10.7,10.63,5,0,0,0,0,1,0,1,1,1,1,1
892,2001,12,53,16,6,3,3,3,3,11.38,10.72,10.66,6.2,0,0,0,0,1,0,1,1,1,1,1
893,2002,13,53,16,8,5,3,5,3,11.39,10.72,10.67,7.3,1,0,0,1,1,0,1,1,1,1,1
894,2003,14,53,16,8,4,4,4,4,11.37,10.71,10.66,7.4,1,0,0,1,1,1,1,1,1,1,1
895,2004,15,53,16,4,4,0,2,2,11.39,10.72,10.67,6.2,1,0,0,1,1,1,1,1,1,1,1
896,2005,16,53,16,8,6,2,2,6,11.4,10.73,10.68,5.5,1,0,0,1,1,1,1,1,1,1,1
897,2006,17,53,16,4,3,1,2,2,11.44,10.78,10.71,5,1,0,0,1,1,1,1,1,1,1,1
898,2007,18,53,16,2,1,1,2,0,11.42,10.76,10.7,4.6,1,0,0,1,1,1,1,1,1,1,1
899,2008,19,53,16,0,0,0,0,0,11.42,10.76,10.7,5.5,1,0,0,1,1,1,1,1,1,1,1
900,2009,20,53,16,5,3,2,2,3,11.4,10.74,10.68,9.3,1,0,0,1,1,1,1,1,1,1,1
901,1990,1,54,16,4,1,3,3,1,10.18,9.52,9.45,8.6,0,0,0,0,0,0,0,0,0,0,0
902,1991,2,54,16,8,5,3,7,1,10.21,9.55,9.47,10.5,0,0,0,0,0,0,0,0,0,0,0
903,1992,3,54,16,1,1,0,0,1,10.19,9.53,9.46,11.2,0,0,0,0,0,0,0,0,0,0,0
904,1993,4,54,16,5,5,0,3,2,10.24,9.58,9.51,10.5,0,0,0,0,0,0,0,0,0,0,0
905,1994,5,54,16,4,2,2,2,2,10.23,9.58,9.5,8.8,0,0,0,0,1,0,0,0,0,0,0
906,1995,6,54,16,6,3,3,3,3,10.24,9.59,9.51,7.8,0,0,0,0,1,0,0,1,0,0,0
907,1996,7,54,16,3,3,0,2,1,10.25,9.6,9.52,7.4,0,0,0,0,1,0,0,1,0,0,0
908,1997,8,54,16,5,3,2,3,2,10.21,9.55,9.48,6.8,0,0,0,0,1,0,0,1,0,0,0
909,1998,9,54,16,7,6,1,4,3,10.19,9.54,9.46,6.5,0,0,0,0,1,0,0,1,0,1,1
910,1999,10,54,16,5,4,1,3,2,10.16,9.5,9.43,6.2,0,0,0,0,1,0,0,1,0,1,1
911,2000,11,54,16,7,5,2,4,3,10.08,9.42,9.36,5.5,0,0,0,0,1,0,0,1,0,1,1
912,2001,12,54,16,3,2,1,2,1,10.08,9.43,9.35,5.2,1,1,0,0,1,0,0,1,0,1,1
913,2002,13,54,16,4,4,0,1,3,10.07,9.41,9.34,5.9,1,1,0,0,1,0,0,1,0,1,1
914,2003,14,54,16,3,2,1,2,1,10.05,9.39,9.33,5.9,1,1,0,0,1,0,0,1,0,1,1
915,2004,15,54,16,4,3,1,3,1,10.03,9.38,9.3,5.2,1,1,0,0,1,0,0,1,1,1,1
916,2005,16,54,16,4,4,0,2,2,10.04,9.38,9.32,4.9,1,1,0,0,1,0,1,1,1,1,1
917,2006,17,54,16,2,2,0,0,2,10.08,9.41,9.36,4.5,1,1,0,0,1,0,1,1,1,1,1
918,2007,18,54,16,3,1,2,3,0,10.07,9.39,9.35,4.2,1,1,0,0,1,0,1,1,1,1,1
919,2008,19,54,16,3,3,0,2,1,10.06,9.39,9.35,4.3,1,1,0,0,1,0,1,1,1,1,1
920,2009,20,54,16,1,1,0,1,0,10.02,9.36,9.29,7.7,1,0,0,0,1,0,1,1,1,1,1
921,1990,1,55,16,7,4,3,4,3,11.09,10.43,10.37,4.4,0,0,0,0,1,0,0,0,0,0,0
922,1991,2,55,16,10,6,4,6,4,11.14,10.47,10.41,5.3,0,0,0,0,1,0,0,1,0,0,0
923,1992,3,55,16,10,8,2,8,2,11.14,10.47,10.41,5.1,0,0,0,0,1,0,0,1,1,0,0
924,1993,4,55,16,9,5,4,5,4,11.19,10.53,10.47,4.5,0,0,0,0,1,0,0,1,1,0,0
925,1994,5,55,16,10,5,5,5,5,11.21,10.55,10.49,4.3,0,0,0,0,1,0,0,1,1,0,0
926,1995,6,55,16,11,7,4,6,5,11.25,10.59,10.53,3.7,0,0,0,0,1,0,0,1,1,0,0
927,1996,7,55,16,10,8,2,2,8,11.31,10.65,10.58,3.6,0,0,0,0,1,0,0,1,1,0,0
928,1997,8,55,16,6,4,2,2,4,11.31,10.65,10.59,3.5,0,0,0,0,1,0,0,1,1,0,1
929,1998,9,55,16,12,8,4,6,6,11.34,10.68,10.62,3.3,0,0,0,0,1,0,0,1,1,0,1
930,1999,10,55,16,8,7,1,3,5,11.34,10.68,10.62,3.1,0,0,0,0,1,0,0,1,1,0,1
931,2000,11,55,16,16,13,3,8,8,11.3,10.63,10.58,3.4,0,0,0,0,1,0,0,1,1,0,1
932,2001,12,55,16,8,3,5,2,6,11.33,10.67,10.61,4.4,1,0,0,1,1,0,0,1,1,0,1
933,2002,13,55,16,15,8,7,11,4,11.32,10.65,10.6,5.3,1,0,0,1,1,0,0,1,1,0,1
934,2003,14,55,16,11,4,7,7,4,11.31,10.65,10.58,5.6,1,0,0,1,1,0,0,1,1,0,1
935,2004,15,55,16,15,10,5,12,3,11.3,10.64,10.57,5,1,0,0,1,1,0,0,0,0,0,1
936,2005,16,55,16,11,7,4,5,6,11.3,10.64,10.57,4.8,1,0,0,1,1,0,0,0,0,0,1
937,2006,17,55,16,9,5,4,7,2,11.33,10.66,10.6,4.7,1,0,0,1,1,0,0,0,0,0,1
938,2007,18,55,16,11,6,5,8,3,11.3,10.64,10.58,4.8,1,0,0,1,1,0,0,0,0,0,1
939,2008,19,55,16,8,5,3,5,3,11.28,10.61,10.55,4.9,1,0,0,1,1,0,0,0,0,0,1
940,2009,20,55,16,3,2,1,3,0,11.26,10.59,10.53,8.8,1,0,0,1,1,0,0,0,0,0,1
941,1990,1,56,16,0,0,0,0,0,8.85,8.2,8.12,5.3,0,0,0,0,1,0,0,0,0,0,0
942,1991,2,56,16,1,1,0,1,0,8.9,8.25,8.17,5.2,0,0,0,0,1,0,0,0,0,0,0
943,1992,3,56,16,5,3,2,5,0,8.91,8.25,8.17,5.6,0,0,0,0,1,0,0,0,0,0,0
944,1993,4,56,16,2,1,1,1,1,8.97,8.31,8.23,5.5,0,0,0,0,1,0,0,0,0,0,0
945,1994,5,56,16,5,4,1,3,2,9,8.34,8.26,5,0,0,0,0,1,0,0,0,0,0,0
946,1995,6,56,16,1,1,0,1,0,9.03,8.38,8.29,4.9,0,0,0,0,1,0,0,0,0,0,0
947,1996,7,56,16,3,3,0,3,0,9.09,8.44,8.36,5.1,0,0,0,0,1,0,0,0,0,1,1
948,1997,8,56,16,3,1,2,2,1,9.08,8.42,8.34,4.8,0,0,0,0,1,0,0,0,1,1,1
949,1998,9,56,16,2,0,2,2,0,9.08,8.43,8.35,4.9,0,0,0,0,1,0,0,0,1,1,1
950,1999,10,56,16,0,0,0,0,0,9.08,8.42,8.34,4.8,0,0,0,0,1,0,0,1,1,1,1
951,2000,11,56,16,3,1,2,1,2,9.04,8.38,8.31,3.9,0,0,0,0,1,0,0,1,1,1,1
952,2001,12,56,16,2,1,1,1,1,9.04,8.38,8.31,3.9,0,0,0,0,1,0,0,1,1,1,1
953,2002,13,56,16,4,3,1,3,1,8.99,8.33,8.27,4.1,0,0,0,0,1,0,0,1,1,1,1
954,2003,14,56,16,2,2,0,2,0,8.97,8.29,8.26,4.5,0,0,0,0,1,0,1,1,1,1,1
955,2004,15,56,16,2,0,2,1,1,8.92,8.26,8.2,3.9,0,0,0,0,1,0,1,1,1,1,1
956,2005,16,56,16,2,2,0,1,1,8.91,8.26,8.17,3.7,0,0,0,0,1,0,1,1,1,1,1
957,2006,17,56,16,2,1,1,0,2,8.94,8.28,8.2,3.2,1,0,1,0,1,0,1,1,1,1,1
958,2007,18,56,16,2,2,0,1,1,8.93,8.29,8.19,2.8,1,0,1,0,1,0,1,1,1,1,1
959,2008,19,56,16,1,0,1,0,1,8.91,8.25,8.19,3.2,1,0,1,0,1,0,1,1,1,1,1
960,2009,20,56,16,2,1,1,1,1,8.9,8.24,8.16,6.5,1,0,1,0,1,0,1,1,1,1,1
